"Allow Everything","すべてを許可"
"Filter Properties","フィルタするプロパティ"
"Display Type","表示種別"
"Labels Only","ラベルのみ"
"Images Only","画像のみ"
"Images and Labels","画像とラベル"
"Drop-down List","ドロップダウンリスト"
"Labels in 2 columns","2カラムのラベル"
"Folded by Default","標準で折りたたむ"
"Do not show quantities","件数を表示しない"
"Sort Options By","ソートオプション"
"Position","位置"
"Name","名前"
"Product Quatities","商品件数"
"ID","ID"
"Title","タイトル"
"General","全般"
"Options","オプション"
"Edit Filter Properties","フィルタープロパティの編集"
"Attribute","属性"
"Delete","削除"
"Are you sure?","よろしいですか？"
"Manage Filters","フィルター管理"
"Load","読み込み"
"On Page Description","ページの概要の上"
"Show Description","概要の表示"
"Description","概要"
"Meta Tags","メタタグ"
"Title Tag","タイトルタグ"
"Meta-Description Tag","メタディスクリプションタグ"
"Images","Images"
"Small Image","Small Image"
"Remove Small Image","Small Imageを削除"
"Main Image","Main Image"
"Remove Main Image","Main Imageを削除"
"Option Properties","オプションプロパティ"
"Filters","フィルター"
"Filters and their options have been loaded","フィルターとオプションを読み込みました"
"Filter does not exist","フィルターがありません"
"Filter properties have been successfully saved","フィルタープロパティを保存しました"
"Unable to find a filter to save","保存するフィルターが見つかりません"
"Please select filter(s)","フィルターを選択してください"
"Total of %d record(s) were successfully deleted","合計 %d 件のレコードを削除しました"
"Option does not exist","オプションがありません"
"Unable to find an option to save","保存するオプションが見つかりません"
"Option properties have been successfully saved","オプションプロパティを保存しました"
"Improved Layered Navigation","改良版階層ナビゲーション"
"Settings","設定"
"Enabled","有効"
"All","すべて"
"Please Select","選択してください"
"Ranges","値の範囲"
"Add Range","範囲の追加"
"Please open Catalog > Manage Categories and set property ""Is Anchor"" to ""Yes"" for the store root category.","カタログ＞カテゴリ管理で、ルートカテゴリに ""Is Anchor"" を ""Yes"" にしてください。"
"Display Properties","プロパティの表示"
"Show in the Block","ブロックに表示"
"Left","左"
"Top","上"
"Number of unfolded options","折りたたまないオプションの数"
"Applicable for `Labels Only`, `Images only` and `Labels and Images` display types. Zero means all options are unfolded","'ラベルのみ'、'画像のみ'、'ラベルと画像'で利用可能です。0はすべてのオプションを折りたたまないことを意味します。"
"Hide quantities","個数を隠す"
"Collapsed","折りたたむ"
"Tooltip","ツールチップ"
"Will be collapsed until customer select any filter option","顧客がフィルターオプションを選択するまでは折りたたむ"
"Additional Blocks","追加ブロック"
"Show on List","リストで表示"
"Show on Product","商品ページで表示"
"Show option description and image above product listing","オプションの概要と画像を商品リストで表示"
"Show options images block on product view page","オプション画像ブロックを商品ページで表示"
"Robots NoFollow Tag","ロボット用NOFOLLOWタグの出力"
"Rel NoFollow","link relでNOFOLLOWを出力"
"For the links in the left navigation","左ナビのリンク用"
"Special Cases","特別なケース"
"Exclude From Categories","カテゴリから除外"
"Comma separated list of the categories IDs like 17,4,25","コンマ区切りでカテゴリIDを指定してください。　例： 17,4,25"
"Single Choice Only","単一選択のみ"
"Disables multiple selection","複数選択を無効にする"
"Show only when one of the following options are selected","以下のオプションが選択された時だけ表示"
"Comma separated list of the option IDs","カンマ区切りでオプションのIDを指定してください"
"Featured","注目"
"CMS Block","CMSブロック"
"Page Title Tag","ページタイトルタグ"
"Image","画像"
"Remove Image","画像を削除"
"Product View Page","商品表示ページ"
"From","開始"
"To","終了"
"Title Tag Separator","タイトルタグ区切り文字"
"Description Tag Separator","Descriptionタグ区切り文字"
"List comma-separated attribute codes like: category, price, color.","コンマ区切りで属性コードを指定してください。　例：category, price, color"
"Exclude Categories","除外するカテゴリ"
"List comma-separated IDs like: 12,328,5","コンマ区切りでIDを指定してください。 例： 12,328,5"
"Use Custom Price Ranges","カスタム価格範囲を使用"
"Show Categories As","カテゴリ表示方法"
"Default","標準"
"Dropdown","ドロップダウン"
"With Sub-Categories","サブカテゴリも表示"
"Static 2-Level Tree","2段ツリーで表示"
"Show Price As","価格表示方法"
"From-To Only","開始-終了のみ"
"Slider","スライダー"
"Show From-To Price Widget","価格の開始-終了ウィジェットを表示"
"Enable Filters Collapsing","フィルタの折りたたみを有効にする"
"Collapse Categories Filter","カテゴリフィルタを折りたたむ"
"Collapse Price Filter","価格フィルタを折りたたむ"
"Hide Filters with One Value Only","値が1つだけのフィルタを隠す"
"Blocks Display","ブロック表示"
"Enable AJAX","Ajaxを使用する"
"State Block Position","静的ブロック表示位置"
"Categories Block Position","カテゴリブロック表示位置"
"Price Block Position","価格ブロック表示位置"
"SEO","検索エンジン最適化"
"Use SEO URLs","検索エンジン最適化済URLを使用する"
"Hide Attribute Names","属性名を隠す"
"Show /shopby/canon/black instead of /shopby/brand-canon/color-black.","/shopby/brand-canon/color-black　の代わりに　/shopby/canon/black　を表示"
"URL Key","URLキー"
"Can not be empty. Only letters and digits are allowed","空白は使用できません。半角英数字が使用できます。"
"Canonical URL","Canonical URL"
"Just Url Key","URLキーのみ"
"Current URL","現在のURL"
"First Attribute Value","最初の属性の値"
"For the /shopby page","/shopby ページ用"
"Category Canonical URL","カテゴリCanonical URL"
"Products List Page","商品一覧"
"Exclude from Homepage","ホームページから除外"
"Improved Layered Navigation","改良版階層ナビゲーション"
"Improved Navigation","改良版ナビゲーション"
"Please make sure your custom skin %s contains %s file.","お使いのカスタムスキン %s がファイル %s を含むようにしてください。"

